uai;libelle_court;libelle_long;statut_juridique_court;adresse;complement_adresse;code_postal;localite;geolocalisation;site_internet;compte_twitter;compte_facebook;compte_linkedin;compte_googleplus;compte_youtube;compte_dailymotion;identifiant_freebase;identifiant_wikidata;statut_operateur_lolf;libelle_mission_chef_de_file;identifiant_programme_lolf_chef_de_file;libelle_programme_lolf_chef_de_file;identifiants_autres_programmes_lolf;libelles_autres_programmes_lolf;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;numero_siren_siret_uai
;GEODERIS;Groupement d'Intérêt Public INERIS/BRGM;Groupement d'intérêt public;15 RUE CLAUDE CHAPPE;;57070;METZ;49.103892, 6.223911;http://www.geoderis.fr/;;;;;;;;;Opérateurs LOLF Hors MIRES 2014;Écologie, développement et aménagement durables;181;Prévention des risques;;;57463;Metz;UU57701;Metz;D057;Moselle;A12;Nancy-Metz;R41;Lorraine;
;AFR;Académie de France à Rome;Établissement public à caractère administratif;VIALE DELLA TRINITA DEI MONTI 1;;00187;ROMA, ITALIA;41.9083567, 12.4825788;http://www.villamedici.it/;https://twitter.com/VillaMedicis;;;;;;http://www.freebase.com/m/03x5bt;http://www.wikidata.org/entity/Q337494;Opérateurs LOLF Hors MIRES 2014;Culture;224;Transmission des savoirs et démocratisation de la culture;;;;Rome;;;D999;Étranger;A99;Non défini;R99;Étranger;
0755361V;INRA;Institut national de la recherche agronomique;Établissements publics à caractère scientifique et technologique;147 RUE DE L'UNIVERSITÉ;;75338;PARIS CEDEX 07;48.8610653, 2.3062707;http://www.inra.fr/;https://twitter.com/Inra_France;;;;;;http://www.freebase.com/m/057xj7;http://www.wikidata.org/entity/Q1665106;Opérateurs MIRES 2014;Recherche et enseignement supérieur;187;Recherche dans le domaine de la gestion des milieux et des ressources;142;;75107;Paris 7e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;18007003901803
0772765M;IFSTTAR;Institut français des sciences et technologies des transports, de l'aménagement et des réseaux;Établissements publics à caractère scientifique et technologique;CITÉ DESCARTES - 14 BOULEVARD NEWTON;CHAMPS SUR MARNE;77447;MARNE LA VALLÉE CEDEX 2;48.842384, 2.587371;http://www.ifsttar.fr/;https://twitter.com/Ifsttar;;https://www.linkedin.com/pub/ifsttar-institute/50/1a7/707;;;;http://www.freebase.com/m/0fp_lm4;http://www.wikidata.org/entity/Q3152297;Opérateurs MIRES 2014;Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de l'aménagement durables;;;77083;Champs-sur-Marne;UU00851;Paris;D077;Seine-et-Marne;A24;Créteil;R11;Île-de-France;13001342800078
0922643Y;IRSN;Institut de radioprotection et de sûreté nucléaire;Établissement public à caractère industriel et commercial;31, AVENUE DE LA DIVISION LECLERC;;92260;FONTENAY-AUX-ROSES;48.7949673, 2.2744071;http://www.irsn.fr/;https://twitter.com/radioprotection;;https://www.linkedin.com/company/irsn;;;;http://www.freebase.com/m/0cstsf;http://www.wikidata.org/entity/Q1502878;Opérateurs MIRES 2014;Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de l'aménagement durables;"181;212";;92032;Fontenay-aux-Roses;UU00851;Paris;D092;Hauts-de-Seine;A25;Versailles;R11;Île-de-France;44054601800027
;SHOM;Service hydrographique et océanographique de la marine;Établissement public à caractère administratif;CS 92803;;29228;BREST CEDEX 2;48.409387, -4.507575;http://www.shom.fr/;https://twitter.com/shom_fr;;;;;;http://www.freebase.com/m/04n072s;http://www.wikidata.org/entity/Q3480442;Opérateurs LOLF Hors MIRES 2014;Défense;212;Soutien de la politique de la défense;;;29019;Brest;UU29701;Brest;D029;Finistère;A14;Rennes;R53;Bretagne;
;Mission de recherche Droit et Justice;Mission de recherche Droit et Justice;Groupement d'intérêt public;13 PLACE VENDOME;;75042;PARIS CEDEX 01;48.8677566, 2.3287208;http://www.gip-recherche-justice.fr/;;;;;;;;;Opérateurs LOLF Hors MIRES 2014;Justice;310;Conduite et pilotage de la politique de la justice;;;75101;Paris 1er;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;
;Académie des technologies;Académie des technologies;Établissement public à caractère administratif;GRAND PALAIS DES CHAMPS ELYSÉES - PORTE C;AVENUE FRANCKLIN D. ROOSEVELT;75008;PARIS;48.866284, 2.31088;http://www.academie-technologies.fr/;https://twitter.com/AcadTechnolog;;https://www.linkedin.com/company/acad-mie-des-technologies;;;;http://www.freebase.com/m/0dlm6c;http://www.wikidata.org/entity/Q2822399;Opérateurs MIRES 2014;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;.;;75108;Paris 8e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;
0755366A;Pasteur;Institut Pasteur;Fondation reconnue d'utilité publique;25-28 RUE DU DR ROUX;;75724;PARIS CEDEX 15;48.8404182, 2.31068;http://www.pasteur.fr/fr;https://twitter.com/aiderpasteur;;;;;;http://www.freebase.com/m/03jwc8;http://www.wikidata.org/entity/Q391083;Non_Opérateur_LOLF;;;;;;75115;Paris 15e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;
0753639Y;CNRS;Centre national de la recherche scientifique;Établissements publics à caractère scientifique et technologique;3, RUE MICHEL-ANGE;;75794;PARIS CEDEX 16;48.8476007, 2.264082;http://www.cnrs.fr/;https://twitter.com/CNRS;;;;;;http://www.freebase.com/m/012bcd;http://www.wikidata.org/entity/Q280413;Opérateurs MIRES 2014;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;;;75116;Paris 16e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;18008901303720
0292267G;IPEV;Institut polaire français Paul-Émile Victor;Groupement d'intérêt public;TECHNOPÔLE BREST-IROISE;CS 60 075;29280;PLOUZANÉ;48.359494, -4.5680089;http://www.institut-polaire.fr/;;;;;;;;http://www.wikidata.org/entity/Q962531;Opérateurs MIRES 2014;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;;;29212;Plouzané;UU29701;Brest;D029;Finistère;A14;Rennes;R53;Bretagne;
0602098E;INERIS;Institut national de l'environnement industriel et des risques;Établissement public à caractère industriel et commercial;PARC TECHNOLOGIQUE ALATA;BP 2;60550;VERNEUIL-EN-HALATTE;49.270971, 2.501898;http://www.ineris.fr/;;;;;;;;http://www.wikidata.org/entity/Q3152390;Opérateurs LOLF Hors MIRES 2014;Écologie, développement et aménagement durables;181;Prévention des risques;190;;60670;Verneuil-en-Halatte;UU60601;Creil;D060;Oise;A20;Amiens;R22;Picardie;38198492100019
